model,corruption_type,train_fraction,test_fraction,class_name,precision,recall,fpr,fnr
resnet18,beam_hardening,0.1,1.0,meningioma,0.8954545454545455,0.985,0.03833333333333333,0.015
resnet18,beam_hardening,0.1,1.0,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,beam_hardening,0.1,1.0,pituitary,0.9925558312655087,1.0,0.0025,0.0
resnet18,beam_hardening,0.25,0.0,glioma,0.996969696969697,0.8225,0.0008333333333333334,0.1775
resnet18,beam_hardening,0.25,0.0,meningioma,0.9099307159353349,0.985,0.0325,0.015
resnet18,beam_hardening,0.25,0.0,notumor,0.9195402298850575,1.0,0.029166666666666667,0.0
resnet18,beam_hardening,0.25,0.0,pituitary,0.9950248756218906,1.0,0.0016666666666666668,0.0
resnet18,beam_hardening,0.25,0.1,glioma,0.996969696969697,0.8225,0.0008333333333333334,0.1775
resnet18,beam_hardening,0.25,0.1,meningioma,0.9099307159353349,0.985,0.0325,0.015
resnet18,beam_hardening,0.25,0.1,notumor,0.9195402298850575,1.0,0.029166666666666667,0.0
resnet18,beam_hardening,0.25,0.1,pituitary,0.9950248756218906,1.0,0.0016666666666666668,0.0
resnet18,beam_hardening,0.25,0.25,glioma,0.996969696969697,0.8225,0.0008333333333333334,0.1775
resnet18,beam_hardening,0.25,0.25,meningioma,0.9097222222222222,0.9825,0.0325,0.0175
resnet18,beam_hardening,0.25,0.25,notumor,0.9174311926605505,1.0,0.03,0.0
resnet18,beam_hardening,0.25,0.25,pituitary,0.9950248756218906,1.0,0.0016666666666666668,0.0
resnet18,beam_hardening,0.25,0.5,glioma,0.996969696969697,0.8225,0.0008333333333333334,0.1775
resnet18,beam_hardening,0.25,0.5,meningioma,0.9196217494089834,0.9725,0.028333333333333332,0.0275
resnet18,beam_hardening,0.25,0.5,notumor,0.9029345372460497,1.0,0.035833333333333335,0.0
resnet18,beam_hardening,0.25,0.5,pituitary,0.9900990099009901,1.0,0.0033333333333333335,0.0
resnet18,beam_hardening,0.25,0.75,glioma,0.9909365558912386,0.82,0.0025,0.18
resnet18,beam_hardening,0.25,0.75,meningioma,0.9214285714285714,0.9675,0.0275,0.0325
resnet18,beam_hardening,0.25,0.75,notumor,0.9029345372460497,1.0,0.035833333333333335,0.0
resnet18,beam_hardening,0.25,0.75,pituitary,0.9852216748768473,1.0,0.005,0.0
resnet18,beam_hardening,0.25,1.0,glioma,0.9848942598187311,0.815,0.004166666666666667,0.185
resnet18,beam_hardening,0.25,1.0,meningioma,0.9204819277108434,0.955,0.0275,0.045
resnet18,beam_hardening,0.25,1.0,notumor,0.8928571428571429,1.0,0.04,0.0
resnet18,beam_hardening,0.25,1.0,pituitary,0.9852216748768473,1.0,0.005,0.0
resnet18,gaussian_noise,0.0,0.0,glioma,0.9940652818991098,0.8375,0.0016666666666666668,0.1625
resnet18,gaussian_noise,0.0,0.0,meningioma,0.9182242990654206,0.9825,0.029166666666666667,0.0175
resnet18,gaussian_noise,0.0,0.0,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,gaussian_noise,0.0,0.0,pituitary,0.9851851851851852,0.9975,0.005,0.0025
resnet18,gaussian_noise,0.0,0.1,glioma,0.9932885906040269,0.74,0.0016666666666666668,0.26
resnet18,gaussian_noise,0.0,0.1,meningioma,0.9270833333333334,0.89,0.023333333333333334,0.11
resnet18,gaussian_noise,0.0,0.1,notumor,0.7312614259597806,1.0,0.1225,0.0
resnet18,gaussian_noise,0.0,0.1,pituitary,0.9838274932614556,0.9125,0.005,0.0875
resnet18,gaussian_noise,0.0,0.25,glioma,0.9920634920634921,0.625,0.0016666666666666668,0.375
resnet18,gaussian_noise,0.0,0.25,meningioma,0.9246987951807228,0.7675,0.020833333333333332,0.2325
resnet18,gaussian_noise,0.0,0.25,notumor,0.5747126436781609,1.0,0.24666666666666667,0.0
resnet18,gaussian_noise,0.0,0.25,pituitary,0.984375,0.7875,0.004166666666666667,0.2125
resnet18,gaussian_noise,0.0,0.5,glioma,0.9941520467836257,0.425,0.0008333333333333334,0.575
resnet18,gaussian_noise,0.0,0.5,meningioma,0.9585253456221198,0.52,0.0075,0.48
resnet18,gaussian_noise,0.0,0.5,notumor,0.4044489383215369,1.0,0.49083333333333334,0.0
resnet18,gaussian_noise,0.0,0.5,pituitary,0.9775784753363229,0.545,0.004166666666666667,0.455
resnet18,gaussian_noise,0.0,0.75,glioma,1.0,0.2225,0.0,0.7775
resnet18,gaussian_noise,0.0,0.75,meningioma,0.9391304347826087,0.27,0.005833333333333334,0.73
resnet18,gaussian_noise,0.0,0.75,notumor,0.31570639305445936,1.0,0.7225,0.0
resnet18,gaussian_noise,0.0,0.75,pituitary,0.9767441860465116,0.315,0.0025,0.685
resnet18,gaussian_noise,0.0,1.0,glioma,0.0,0.0,0.0,1.0
resnet18,gaussian_noise,0.0,1.0,meningioma,0.9375,0.0375,0.0008333333333333334,0.9625
resnet18,gaussian_noise,0.0,1.0,notumor,0.2574002574002574,1.0,0.9616666666666667,0.0
resnet18,gaussian_noise,0.0,1.0,pituitary,0.9333333333333333,0.07,0.0016666666666666668,0.93
resnet18,gaussian_noise,0.1,0.0,glioma,0.993920972644377,0.8175,0.0016666666666666668,0.1825
resnet18,gaussian_noise,0.1,0.0,meningioma,0.9180327868852459,0.98,0.029166666666666667,0.02
